word
我
你
他
她
我们
他们
学生
老师
朋友
学校
家
公园
城市
上午
中午
下午
晚上
今天
明天
猫
狗
苹果
米饭
水果
茶
吃
喝
玩
读
写
学习
去
看
喜欢
爱
高兴
好
小
可爱
热
天气
家人
妈妈
爸爸
谢谢
再见
是
不
和
在
很
一个
这
那
一
二
十
岁
作业
饭店
车
北京
小明
汉语
前面
后面
太阳
牛奶
老鼠
床
花园
树
门
跑
睡
因为
然后
可是
也
