word
yo
tú
él
ella
nosotros
ellos
estudiante
maestro
amigo
escuela
casa
parque
ciudad
mañana
mediodía
tarde
noche
hoy
gato
perro
manzana
arroz
fruta
té
comer
beber
jugar
leer
escribir
aprender
ir
ver
gustar
querer
feliz
bueno
pequeño
lindo
caliente
clima
familia
mamá
papá
gracias
adiós
sí
no
y
en
con
muy
un
una
el
la
es
son
tiene
tengo
este
esa
uno
dos
diez
años
tarea
restaurante
auto
Pekín
ventana
sol
leche
ratón
cama
patio
jardín
árbol
puerta
cocina
sala
niño
niña
plato
agua
suave
blanco
negro
naranja
cola
pelota
siesta
calor
frío
corre
salta
duerme
busca
mira
sale
entra
camina
encuentra
vuelve
está
están
hay
se
le
lo
su
sus
mi
que
de
del
al
porque
cuando
pero
también
entonces
después
puede
va
era
